sct_mae_hu,sct_rmse_hu,sct_psnr,sct_ssim,raw_cbct_mae_hu,raw_cbct_rmse_hu,raw_cbct_psnr,raw_cbct_ssim,sct_mae_air_lung_hu,raw_cbct_mae_air_lung_hu,sct_mae_soft_tissue_hu,raw_cbct_mae_soft_tissue_hu,sct_mae_bone_hu,raw_cbct_mae_bone_hu,sct_mae_body_hu,raw_cbct_mae_body_hu,sample_counter,dataset_index,patient_id,slice_index,mean_uncertainty_hu,std_uncertainty_hu,mean_error_hu,error_uncertainty_corr
100.003235,185.21098,22.946133,0.2640829348139705,244.53717,281.50482,19.309752,0.5216064519062845,259.73038,151.94467,78.22601,251.8538,128.82092,352.36728,100.003235,244.53717,26,1466,2ABA132,23,29.486841,47.207554,100.003235,0.319471827216903
204.82031,353.3804,17.334618,0.3219778137178451,130.26376,237.17513,20.798084,0.858307924208388,369.69647,196.93102,109.103195,91.28965,89.524124,93.12138,204.82031,130.26376,27,1330,2ABA128,38,35.915985,40.144447,204.82031,0.005835332628002862
84.10814,150.21704,24.765083,0.3375769681816935,180.33655,230.06798,21.062344,0.6477225428242607,99.22368,102.816376,62.247383,198.14471,180.19807,353.09778,84.10814,180.33655,28,1436,2ABA130,69,46.239582,41.904655,84.10814,0.25764485186668
121.48465,241.23996,20.650482,0.37364635928072143,122.33078,241.88235,20.627384,0.857817840597838,240.07356,211.4964,58.703045,76.19483,132.88733,111.5706,121.48465,122.33078,29,859,2ABA082,22,48.262398,49.274765,121.48465,0.03260058902214471
103.53454,173.41637,23.517666,0.37536271684151407,110.31616,169.72813,23.704391,0.7981618385208129,61.06907,100.585655,104.784706,100.894936,247.9715,284.86298,103.53454,110.31616,30,451,2ABA056,79,60.802517,70.97106,103.53454,0.17843237709348525
92.50277,177.08777,23.335697,0.31979539684157604,122.40862,174.78589,23.44934,0.7581124579415244,144.9877,125.378685,55.24903,108.109665,210.36003,276.74582,92.50277,122.40862,31,919,2ABA096,6,42.689457,46.875187,92.50277,0.125314291558445
163.75603,326.1967,18.029877,0.3287456347871546,184.8934,318.02448,18.250257,0.7501474265096433,333.53168,330.2684,81.07964,114.19647,110.81698,137.79962,163.75603,184.8934,32,1206,2ABA114,66,50.518795,58.39829,163.75603,-0.011434979135265085
93.74459,166.13382,23.890306,0.1820561100043274,255.19247,308.13055,18.524773,0.6586309450589933,77.977234,66.326096,76.08349,242.04173,330.93417,638.0864,93.74459,255.19247,33,569,2ABA068,32,30.31961,43.913895,93.74459,0.35803595453390147
135.98688,237.30688,20.793262,0.2859829235824095,149.94023,224.59914,21.271305,0.7804635757492205,261.93863,231.89557,62.61965,96.30208,167.60089,206.79593,135.98688,149.94023,34,13,2ABA006,19,41.074993,46.002697,135.98688,-0.09830386953042093
70.04043,157.98882,24.326942,0.35834000121510273,158.92482,245.28334,20.506105,0.8069805390046577,84.89343,83.46166,59.21056,173.14293,406.4034,414.61832,70.04043,158.92482,35,326,2ABA044,29,46.552563,56.86033,70.04043,0.4269124387754274
118.38675,212.69524,21.744312,0.3356723970078933,211.35654,264.6388,19.846397,0.6470465059879352,105.25018,88.87818,116.91577,237.20447,170.74617,369.90607,118.38675,211.35654,36,1429,2ABA130,62,52.759575,50.05004,118.38675,0.39229877435919497
74.7296,159.0104,24.270956,0.37877442968365194,103.22107,218.86945,21.495764,0.8603072566532464,143.75362,171.17786,39.518154,70.26505,122.56507,123.70349,74.7296,103.22107,37,865,2ABA082,28,47.09112,46.63655,74.7296,0.061663288665444765
